TEAM,CONF,G,W,ADJOE,ADJOE_RK,ADJDE,ADJDE_RK,BARTHAG,EFG_O,EFG_O_RK,EFG_D,EFG_D_RK,TOR,TOR_RK,TORD,TORD_RK,ORB,ORB_RK,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,ADJ_T_RK,WAB,POSTSEASON,SEED,YEAR,CUMW,DATE
Air Force,MWC,30,16,109.2,42,103.5,120,0.6481,54.7,9,51.9,49,18.5,254,19.1,217,23.7,342,31.8,30.8,36.6,52.9,54.2,38.1,32.4,64.4,245,-2.9,NA,NA,2013,16,1/1/2013
Akron,MAC,32,25,103.4,126,94.4,289,0.7402,51,74,44.6,318,20.8,116,20.2,153,37.6,22,30.5,36.9,35,52.1,42.7,32.7,32.8,66.5,143,0.3,R64,12,2013,25,1/1/2013
Alabama,SEC,35,22,102.6,139,89.7,331,0.8243,47.9,204,45.7,288,19.9,179,22.6,40,32,152,32.9,33.9,32.7,47.1,45.2,33,31.3,61.7,319,-1.5,NA,NA,2013,22,1/1/2013
Alabama A&M,SWAC,29,9,89.2,328,111.1,21,0.074,43.8,326,49.8,123,21,105,17.4,298,31.8,159,31.9,36.9,36,43.9,48.8,28.9,34.9,66.1,172,-16,NA,NA,2013,9,1/1/2013
Alabama St.,SWAC,31,9,91.1,313,110.1,29,0.1023,45.1,301,49.4,143,22,63,19.5,196,33.4,111,34.5,32.2,38,44.8,47.6,30.6,35.2,67,122,-17.2,NA,NA,2013,9,1/1/2013
Albany,AE,35,24,101.2,166,98.7,209,0.5722,49.6,112,48.3,188,21.2,98,19.9,174,31.7,166,28.2,40,27.8,46.7,47.6,37,33.1,63.2,281,-4.5,R64,15,2013,24,1/1/2013
Alcorn St.,SWAC,32,9,85.4,341,101.2,171,0.1234,42.3,337,44.4,322,22.2,53,19.1,217,29.3,245,36,38.1,47,41.6,43.8,29.3,30.5,67.7,93,-16.7,NA,NA,2013,9,1/1/2013
American,Pat,30,10,95.7,265,106.4,70,0.2266,47.3,233,51.3,72,20.2,157,15.6,337,28.5,273,27,30.9,27.9,43.8,45.7,36.2,41.1,59.9,343,-13.4,NA,NA,2013,10,1/1/2013
Appalachian St.,SC,29,13,97.6,226,105.8,83,0.2822,49.6,112,51.4,67,19.4,206,18.8,235,30.3,221,30.3,37.9,35.2,47.2,52.5,36.5,32.7,68,83,-11.7,NA,NA,2013,13,1/1/2013
Arizona,P12,35,27,114.4,11,92.2,313,0.9229,52.5,39,46.6,263,19.5,198,19.8,177,35,63,26.7,37.4,32.9,50.6,43.4,37.1,35.8,66.8,134,4.6,S16,6,2013,27,1/1/2013
